category,records,avg_income,avg_expense,avg_actual_savings,avg_savings_rate,goal_met_rate,avg_debt_to_income,avg_discretionary_share,avg_essential_share,avg_stress_score,fraud_rate,record_share
Groceries,308,4000.274577922078,3075.9074675324673,1060.384512987013,0.23107142857142857,0.06168831168831169,0.3404220779220779,0.175730265921708,0.7860428905261141,1.6233766233766234,0.032467532467532464,0.10266666666666667
Insurance,321,4020.450249221184,3069.7592834890966,1132.6184112149533,0.22834890965732085,0.09657320872274143,0.3561682242990654,0.17923576695427146,0.800297393503466,1.7538940809968848,0.028037383177570093,0.107
Dining Out,306,3949.5376470588235,3064.683529411765,1076.148366013072,0.22395424836601308,0.10784313725490197,0.35343137254901963,0.17668853828550463,0.8001614502464807,1.6993464052287581,0.013071895424836602,0.102
Utilities,320,3902.2429375,3050.10321875,1056.82021875,0.22678125000000002,0.06875,0.34790625,0.18030281200854154,0.8020291739914691,1.659375,0.015625,0.10666666666666667
Entertainment,291,3994.421512027491,3040.614536082474,1145.2278350515464,0.2351890034364261,0.07903780068728522,0.3550171821305842,0.1916250625453203,0.8454060291740357,1.7731958762886597,0.027491408934707903,0.097
Healthcare,308,4009.159155844156,2995.360292207792,1148.9087337662338,0.22435064935064933,0.06818181818181818,0.34590909090909094,0.18385658848805428,0.8275008278291284,1.6168831168831168,0.025974025974025976,0.10266666666666667
Transportation,305,4066.3281639344264,2969.15868852459,1265.353081967213,0.22085245901639344,0.11475409836065574,0.3473114754098361,0.1883588564918381,0.816595747011137,1.7114754098360656,0.02622950819672131,0.10166666666666667
Investments,286,4101.810979020979,2960.909965034965,1275.2436713286713,0.22444055944055943,0.11538461538461539,0.34545454545454546,0.18787851295220007,0.8159632289849759,1.6783216783216783,0.017482517482517484,0.09533333333333334
Education,289,4004.3382006920415,2939.6657093425606,1205.8190311418687,0.2260553633217993,0.10380622837370242,0.3594117647058824,0.1837859327932917,0.8081004524585327,1.698961937716263,0.020761245674740483,0.09633333333333334
Rent,266,4004.049736842105,2928.8775563909776,1223.0950751879698,0.21691729323308273,0.11278195488721804,0.358421052631579,0.18385962709965278,0.8154369716986283,1.6954887218045114,0.03007518796992481,0.08866666666666667
